Time Slot,Monday,Tuesday,Wednesday,Thursday,Friday
9:00 - 10:30,CS201 (Lecture) - Dr. Sadhvi Manerikar [LH-101],CS201 (Lecture) - Dr. Sadhvi Manerikar [LH-101],CS207 (Lecture) - Dr. Vivekraj V K [LH-101],CS207 (Lecture) - Dr. Vivekraj V K [LH-101],HS206 (Lecture) - Dr. Navyashree [LH-101]
10:30 - 12:00,CS202 (Lecture) - Dr. Dibyajyothi [LH-101],CS202 (Lecture) - Dr. Dibyajyothi [LH-101],CS208 (Lecture) - Dr. Prabhu Prasad B M [LH-101],CS208 (Lecture) - Dr. Prabhu Prasad B M [LH-101],MA201 (Lecture) - Dr. Anand Barangi [LH-101]
12:00 - 13:00,LUNCH BREAK,LUNCH BREAK,LUNCH BREAK,LUNCH BREAK,LUNCH BREAK
13:00 - 14:00,,,,,
14:00 - 15:00,CS202 (Lab) - Dr. Dibyajyothi [Lab-202],,CS207 (Lab) - Dr. Vivekraj V K [Lab-203],CS208 (Lab) - Dr. Prabhu Prasad B M [Lab-203],
15:00 - 17:00,CS202 (Lab) - Dr. Dibyajyothi [Lab-202],,CS207 (Lab) - Dr. Vivekraj V K [Lab-203],CS208 (Lab) - Dr. Prabhu Prasad B M [Lab-203],
17:00 - 18:00,,,,,
18:00 - 19:00,,,,,
