Time Slot,Monday,Tuesday,Wednesday,Thursday,Friday
9:00 - 10:30,HS206 (Lecture) - Dr. Navyashree [Lab-201],HS206 (Lecture) - Dr. Navyashree [Lab-201],CS208 (Lecture) - Dr. Prabhu Prasad B M [Lab-201],CS208 (Lecture) - Dr. Prabhu Prasad B M [Lab-201],MA201 (Lecture) - Dr. Anand Barangi [Lab-201]
10:30 - 12:00,CS202 (Lecture) - Dr. Vivekraj V K & Dr.Malay Kumar [Lab-201],CS202 (Lecture) - Dr. Vivekraj V K & Dr.Malay Kumar [Lab-201],CS201 (Lecture) - Dr.Animesh Roy [Lab-201],CS201 (Lecture) - Dr.Animesh Roy [Lab-201],CS207 (Lecture) - Dr. Pramod Yelmewad [Lab-201]
12:00 - 13:00,LUNCH BREAK,LUNCH BREAK,LUNCH BREAK,LUNCH BREAK,LUNCH BREAK
13:00 - 14:00,,,,,
14:00 - 15:00,CS202 (Lab) - Dr. Vivekraj V K & Dr.Malay Kumar [Lab-201],,CS208 (Lab) - Dr. Prabhu Prasad B M [Lab-201],CS207 (Lab) - Dr. Pramod Yelmewad [Lab-201],
15:00 - 17:00,CS202 (Lab) - Dr. Vivekraj V K & Dr.Malay Kumar [Lab-201],,CS208 (Lab) - Dr. Prabhu Prasad B M [Lab-201],CS207 (Lab) - Dr. Pramod Yelmewad [Lab-201],
17:00 - 18:00,,,,,
18:00 - 19:00,,,,,
