Time Slot,Monday,Tuesday,Wednesday,Thursday,Friday
9:00 - 10:30,,,,,
10:30 - 12:00,,,,,
12:00 - 13:00,LUNCH BREAK,LUNCH BREAK,LUNCH BREAK,LUNCH BREAK,LUNCH BREAK
13:00 - 14:00,,,,,
14:00 - 15:00,CS307 (Lecture) - Dr. Sunil Saumya [LH-102],CS307 (Lecture) - Dr. Sunil Saumya [Lab-203],CS307 (Lecture) - Dr. Sunil Saumya [LH-102],CS307 (Lecture) - Dr. Sunil Saumya [LH-101],DS302 (Lab) - Dr. Shirshendu Layek [Lab-202]
15:00 - 17:00,CS307 (Lecture) - Dr. Sunil Saumya [LH-102],CS307 (Lecture) - Dr. Sunil Saumya [Lab-203],CS307 (Lecture) - Dr. Sunil Saumya [LH-102],CS307 (Lecture) - Dr. Sunil Saumya [LH-101],DS302 (Lab) - Dr. Shirshendu Layek [Lab-202]
17:00 - 18:00,,,,,
18:00 - 19:00,,,,,
