Time Slot,Monday,Tuesday,Wednesday,Thursday,Friday
9:00 - 10:30,Statistics (Lecture) - Dr. Ramesh Athe [LH-102],Statistics (Lecture) - Dr. Ramesh Athe [LH-102],Introduction to Cybersecurity (Lecture) - Dr. Srinivas Kulkarni [LH-102],Introduction to Cybersecurity (Lecture) - Dr. Srinivas Kulkarni [LH-102],Introduction to Personal Finance (Lecture) - Dr. Siddharth R [LH-102]
10:30 - 12:00,Introduction to DS & AI (Lecture) - Dr. Siddharth R [LH-102],Introduction to DS & AI (Lecture) - Dr. Siddharth R [LH-102],Introduction to Quantum Physics (Lecture) - Prof. Ravishankar [LH-102],Introduction to Quantum Physics (Lecture) - Prof. Ravishankar [LH-102],Introduction to Design (Lecture) - Dr. Sandesh [LH-102]
12:00 - 13:00,LUNCH BREAK,LUNCH BREAK,LUNCH BREAK,LUNCH BREAK,LUNCH BREAK
13:00 - 14:00,,,,,
14:00 - 15:00,Problem Solving through Programming (Lecture) - Dr. Manjunath KV [LH-104],Problem Solving through Programming (Lecture) - Dr. Manjunath KV [LH-104],Problem Solving through Programming (Lecture) - Dr. Manjunath KV [LH-104],Introduction to Design (Lab) - Dr. Sandesh [Lab-202],Digital Design (Lab) - Dr. Somen [Lab-201]
15:00 - 17:00,Problem Solving through Programming (Lecture) - Dr. Manjunath KV [LH-104],Problem Solving through Programming (Lecture) - Dr. Manjunath KV [LH-104],Problem Solving through Programming (Lecture) - Dr. Manjunath KV [LH-104],Introduction to Design (Lab) - Dr. Sandesh [Lab-202],Digital Design (Lab) - Dr. Somen [Lab-201]
17:00 - 18:00,,,,,
18:00 - 19:00,,,,,
