Time Slot,Monday,Tuesday,Wednesday,Thursday,Friday
9:00 - 10:30,,,,,
10:30 - 12:00,,,,,
12:00 - 13:00,LUNCH BREAK,LUNCH BREAK,LUNCH BREAK,LUNCH BREAK,LUNCH BREAK
13:00 - 14:00,,,,,
14:00 - 15:00,EC206 (Lecture) - Dr. Prakash Pawar [LH-103],EC206 (Lecture) - Dr. Prakash Pawar [LH-101],EC206 (Lecture) - Dr. Prakash Pawar [LH-103],EC206 (Lecture) - Dr. Prakash Pawar [LH-102],EC206 (Lecture) - Dr. Prakash Pawar [LH-104]
15:00 - 17:00,EC206 (Lecture) - Dr. Prakash Pawar [LH-103],EC206 (Lecture) - Dr. Prakash Pawar [LH-101],EC206 (Lecture) - Dr. Prakash Pawar [LH-103],EC206 (Lecture) - Dr. Prakash Pawar [LH-102],EC206 (Lecture) - Dr. Prakash Pawar [LH-104]
17:00 - 18:00,,,,,
18:00 - 19:00,,,,,
