Time Slot,Monday,Tuesday,Wednesday,Thursday,Friday
9:00 - 10:30,CS309 (Lecture) - Dr. Sunil C K [Lab-202],CS309 (Lecture) - Dr. Sunil C K [Lab-202],CS304 (Lecture) - Dr. Girish [Lab-202],CS304 (Lecture) - Dr. Girish [Lab-202],Theory Basket (Lecture) - Dr. Pavan / Dr. Suvadip Hazra [Lab-202]
10:30 - 12:00,CS303 (Lecture) - Dr. Dr. Sadhvi [Lab-202],CS303 (Lecture) - Dr. Dr. Sadhvi [Lab-202],Theory Basket (Lecture) - Dr. Pavan / Dr. Suvadip Hazra [Lab-202],Theory Basket (Lecture) - Dr. Pavan / Dr. Suvadip Hazra [Lab-202],Open Electives (Lecture) - Dr. Rajendra Hegadi / Dr. Pramod / Dr. Prakash [Lab-202]
12:00 - 13:00,LUNCH BREAK,LUNCH BREAK,LUNCH BREAK,LUNCH BREAK,LUNCH BREAK
13:00 - 14:00,,,,,
14:00 - 15:00,,,CS303 (Lab) - Dr. Dr. Sadhvi [Lab-202],,
15:00 - 17:00,,,CS303 (Lab) - Dr. Dr. Sadhvi [Lab-202],,
17:00 - 18:00,,,,,
18:00 - 19:00,,,,,
