Time Slot,Monday,Tuesday,Wednesday,Thursday,Friday
9:00 - 10:30,DS201 (Lecture) - Dr. Rajib Sharma [LH-103],DS201 (Lecture) - Dr. Rajib Sharma [LH-103],CS207 (Lecture) - Dr. Manjunath KV [LH-103],CS207 (Lecture) - Dr. Manjunath KV [LH-103],EC209 (Lecture) - Dr. Jagadeesha R B [LH-103]
10:30 - 12:00,CS201 (Lecture) - Dr. Animesh Roy [LH-103],CS201 (Lecture) - Dr. Animesh Roy [LH-103],CS202 (Lecture) - Dr. Sunil Saumya [LH-103],CS202 (Lecture) - Dr. Sunil Saumya [LH-103],HS205 (Lecture) - Guest Faculty [LH-103]
12:00 - 13:00,LUNCH BREAK,LUNCH BREAK,LUNCH BREAK,LUNCH BREAK,LUNCH BREAK
13:00 - 14:00,,,,,
14:00 - 15:00,CS207 (Lecture) - Dr. Manjunath KV [LH-101],CS207 (Lecture) - Dr. Manjunath KV [Lab-201],CS207 (Lecture) - Dr. Manjunath KV [LH-101],CS207 (Lecture) - Dr. Manjunath KV [LH-104],DS201 (Lab) - Dr. Rajib Sharma [Lab-203]
15:00 - 17:00,CS207 (Lecture) - Dr. Manjunath KV [LH-101],CS207 (Lecture) - Dr. Manjunath KV [Lab-201],CS207 (Lecture) - Dr. Manjunath KV [LH-101],CS207 (Lecture) - Dr. Manjunath KV [LH-104],DS201 (Lab) - Dr. Rajib Sharma [Lab-203]
17:00 - 18:00,,,,,
18:00 - 19:00,,,,,
